URL,状态码,内容类型,Canonical,来源页面数量,是否在 Sitemap,迁移后必须原样保留,允许重定向,目标 URL,验收方法
https://www.xinvstar.xyz/archive/?tag=Video,200,text/html; charset=utf-8,,101,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/archive/?tag=Vite,200,text/html; charset=utf-8,,101,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/archive/?tag=Web,200,text/html; charset=utf-8,,101,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/archive/?tag=Webpack,200,text/html; charset=utf-8,,101,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/archive/?tag=Workflow,200,text/html; charset=utf-8,,101,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/archive/?tag=xinStar,200,text/html; charset=utf-8,,101,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/archive/?tag=Zustand,200,text/html; charset=utf-8,,101,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/atom,200,text/html; charset=utf-8,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/atom.xml,200,application/xml,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/atom/,200,text/html; charset=utf-8,,101,是,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/devices,200,text/html; charset=utf-8,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/devices/,200,text/html; charset=utf-8,,101,是,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
https://www.xinvstar.xyz/diary,200,text/html; charset=utf-8,,0,否,是,仅在无法原样保留时,,HTTP + Canonical + 内容指纹 + 浏览器回归
